;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;14;0.4;16;128;0.5;1;0.003;0.395348837209302;0.0764555838139057;0.329562611014644;0.0615742488407238;0.814285714285714;0.0838419850555191;0.718321789321789;0.0951195286776004
Cora;model;21;0.4;16;128;0.5;1;0.003;0.489228886168911;0.0886546959580548;0.445685041834066;0.0907069340079917;0.795238095238095;0.112351354724993;0.724327973613688;0.115446460509766
Cora;model;28;0.4;16;128;0.5;1;0.003;0.53953488372093;0.0854941559752531;0.502458348053709;0.0923402397111187;0.853571428571429;0.0882077788230605;0.806884137411559;0.107598224150004
Cora;model;35;0.4;16;128;0.5;1;0.003;0.600979192166463;0.068144005209671;0.557861440203791;0.078309378997291;0.868571428571429;0.0715237461162613;0.834803938055818;0.104513434109413
Cora;model;42;0.4;16;128;0.5;1;0.003;0.647980416156671;0.0619354633899553;0.61158013208234;0.0697154811092917;0.907142857142857;0.0629440636790424;0.881658124197281;0.0924831778190951
Cora;model;49;0.4;16;128;0.5;1;0.003;0.672093023255814;0.0567554110069427;0.654187774993499;0.0562383138264045;0.910204081632653;0.0594606078460195;0.903347559278177;0.0723658014916741
Cora;model;56;0.4;16;128;0.5;1;0.003;0.68812729498164;0.0320676090943703;0.666905744936265;0.0359471880350796;0.885714285714286;0.046260379113632;0.856378136552978;0.0769969876432029
Cora;model;63;0.4;16;128;0.5;1;0.003;0.71297429620563;0.0311697223457695;0.701135401160315;0.025992562642859;0.887301587301587;0.0487519555546643;0.875579076494947;0.0657623892640462
Cora;model;70;0.4;16;128;0.5;1;0.003;0.739779681762546;0.0191297831247231;0.725418681098525;0.0211977086567583;0.882857142857143;0.0440572704998872;0.868792659653565;0.0571905611718688
Cora;model;77;0.4;16;128;0.5;1;0.003;0.747858017135863;0.0110385550864698;0.733563540354955;0.0144902385408122;0.879220779220779;0.0341140923027629;0.868075129680904;0.0359160571927477
Cora;model;84;0.4;16;128;0.5;1;0.003;0.767441860465116;0.012089377715242;0.752102660734605;0.01582529738727;0.870238095238095;0.0324573095979024;0.852207978365956;0.0460837754974057
Cora;model;91;0.4;16;128;0.5;1;0.003;0.769645042839657;0.00801170964251884;0.755255887542881;0.0134968340579155;0.871428571428571;0.042733298411985;0.860012770874635;0.0486328256749668
Cora;model;98;0.4;16;128;0.5;1;0.003;0.778335373317013;0.0118593078760974;0.763605271598714;0.01220046179361;0.881632653061224;0.0337403993677204;0.867713125709027;0.0348289065987797
Cora;model;105;0.4;16;128;0.5;1;0.003;0.78249694002448;0.0113662061982633;0.766458906123121;0.0124753215731579;0.879047619047619;0.0386337598135271;0.863516641224849;0.0393291003182671
Cora;model;112;0.4;16;128;0.5;1;0.003;0.785434516523868;0.0192412748732969;0.769963010861646;0.0209343161065058;0.873214285714286;0.0200975512096835;0.859712549293501;0.0232778698392612
Cora;model;119;0.4;16;128;0.5;1;0.003;0.785679314565483;0.0158063854221921;0.771626776076371;0.015979488446494;0.864705882352941;0.0346366217247051;0.851299691988271;0.0311134366209452
Cora;model;126;0.4;16;128;0.5;1;0.003;0.791064871481028;0.0174348801768122;0.777676271206932;0.0169876266358767;0.863492063492063;0.0266658268113315;0.854024101181276;0.034261880154675
Cora;model;133;0.4;16;128;0.5;1;0.003;0.790452876376989;0.017298291785216;0.776701545298655;0.0178534899031552;0.853383458646616;0.0251252351575983;0.842938520630713;0.0327780251806176
Cora;model;140;0.4;16;128;0.5;1;0.003;0.79718482252142;0.0191197735688669;0.783806074329293;0.0194315587111642;0.864285714285714;0.0154303349962092;0.853436639998532;0.0163822210219604
Cora;model;0;0.8;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;0.8;16;128;0.5;1;0.003;0.328641370869033;0.0969440940587953;0.232100477891738;0.0596821238962604;0.842857142857143;0.105409255338946;0.759365079365079;0.160836900990912
Cora;model;14;0.8;16;128;0.5;1;0.003;0.395348837209302;0.0764555838139057;0.329562611014644;0.0615742488407238;0.814285714285714;0.0838419850555191;0.718321789321789;0.0951195286776004
Cora;model;21;0.8;16;128;0.5;1;0.003;0.500489596083231;0.076386861343985;0.451943644023317;0.0894258294241138;0.804761904761905;0.121819580027618;0.731470830756545;0.12796320391517
Cora;model;28;0.8;16;128;0.5;1;0.003;0.54124847001224;0.0917998095999114;0.509332088842039;0.0923022289373279;0.846428571428572;0.0891665871955905;0.796871260939055;0.105892559494691
Cora;model;35;0.8;16;128;0.5;1;0.003;0.590820073439412;0.0894956441306631;0.559356373937765;0.0834447722027391;0.862857142857143;0.0849703162788398;0.832968670983708;0.104985427858658
Cora;model;42;0.8;16;128;0.5;1;0.003;0.646511627906977;0.0654419642409591;0.608549128779903;0.0614196598747452;0.902380952380952;0.0598667370337972;0.862091884284527;0.101955821890792
Cora;model;49;0.8;16;128;0.5;1;0.003;0.676376988984088;0.0522942962695763;0.652590554461941;0.0548008383343128;0.912244897959184;0.0577630740553845;0.87727441860338;0.0849882853035834
Cora;model;56;0.8;16;128;0.5;1;0.003;0.694247246022032;0.0315231279383072;0.674117941994298;0.0316140929073256;0.889285714285714;0.0575875553449896;0.85729083482671;0.0835638698818324
Cora;model;63;0.8;16;128;0.5;1;0.003;0.721419828641371;0.0295520347248714;0.708427642201073;0.0333670138110625;0.895238095238095;0.0375624113212674;0.87376375337705;0.0638619279806105
Cora;model;70;0.8;16;128;0.5;1;0.003;0.749204406364749;0.0195280894107738;0.735623993591235;0.0188200315038467;0.892857142857143;0.0388321581673812;0.877843305329417;0.0596174380213432
Cora;model;77;0.8;16;128;0.5;1;0.003;0.753365973072215;0.0174176860107193;0.74247771362539;0.017796352718007;0.888311688311688;0.0325107936892097;0.876629348507726;0.0429295256826551
Cora;model;84;0.8;16;128;0.5;1;0.003;0.763892288861689;0.0172563809953878;0.753036986480449;0.0175312048195756;0.882142857142857;0.0417893130695262;0.868602352946621;0.0403431582875912
Cora;model;91;0.8;16;128;0.5;1;0.003;0.770257037943696;0.0179244811859932;0.757579487597906;0.0174999779966595;0.87032967032967;0.0441995696087864;0.857460890760336;0.0434847362839842
Cora;model;98;0.8;16;128;0.5;1;0.003;0.777111383108935;0.0230469407727434;0.76489212561742;0.0215084381300165;0.88469387755102;0.0490669100730974;0.873182730006584;0.0519952922268879
Cora;model;105;0.8;16;128;0.5;1;0.003;0.781884944920441;0.023928234648564;0.767840563900061;0.0235961147796975;0.877142857142857;0.033431450455621;0.865727522642501;0.0330563032383952
Cora;model;112;0.8;16;128;0.5;1;0.003;0.779436964504284;0.0279875055255451;0.765889898358903;0.0284301086694156;0.8625;0.0321097713315742;0.852796791384201;0.0329833627889151
Cora;model;119;0.8;16;128;0.5;1;0.003;0.78359853121175;0.0269636149981587;0.769732370539009;0.0271520319021527;0.864705882352941;0.0445457421199952;0.850502098626421;0.0497097682266203
Cora;model;126;0.8;16;128;0.5;1;0.003;0.79094247246022;0.0234858741583987;0.777633715132913;0.0222549733364789;0.865873015873016;0.0351861797209962;0.853240156009739;0.0353700096426239
Cora;model;133;0.8;16;128;0.5;1;0.003;0.789718482252142;0.0216415252854358;0.776529019885368;0.0213158172027033;0.842857142857143;0.0251751859726269;0.830913734879959;0.0238517749370031
Cora;model;140;0.8;16;128;0.5;1;0.003;0.794492044063647;0.0212036653445682;0.781699865313692;0.0218959755350789;0.857142857142857;0.0427246629641104;0.842684752621506;0.0472659454209279
Cora;model;0;1;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;1;16;128;0.5;1;0.003;0.328641370869033;0.0969440940587953;0.232100477891738;0.0596821238962604;0.842857142857143;0.105409255338946;0.759365079365079;0.160836900990912
Cora;model;14;1;16;128;0.5;1;0.003;0.395348837209302;0.0764555838139057;0.329562611014644;0.0615742488407238;0.814285714285714;0.0838419850555191;0.718321789321789;0.0951195286776004
