;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;77;0.1;16;128;0.5;1;0.003;0.75030599755202;0.035708456119202;0.724803674469995;0.0361196949674013;0.879220779220779;0.0372646566522205;0.856472733435113;0.045072363584901
Cora;model;84;0.1;16;128;0.5;1;0.003;0.76499388004896;0.0342668683779618;0.744338187873956;0.036559164263511;0.863095238095238;0.0473703824853703;0.842192941822594;0.0574300712563549
Cora;model;91;0.1;16;128;0.5;1;0.003;0.770379436964504;0.0268361384461453;0.746993815251922;0.0352487048318336;0.87032967032967;0.0376417071902275;0.85146754756213;0.0436881858650132
Cora;model;98;0.1;16;128;0.5;1;0.003;0.775520195838433;0.0281677353510747;0.754164648125925;0.0338262787154397;0.864285714285714;0.0408304964065922;0.847981817442085;0.0483427920579047
Cora;model;105;0.1;16;128;0.5;1;0.003;0.781395348837209;0.0241870155532884;0.760213178758807;0.0315910439289896;0.865714285714286;0.0349062019235643;0.854383812684407;0.0368848068342622
Cora;model;112;0.1;16;128;0.5;1;0.003;0.781884944920441;0.0220303125945632;0.7630803037868;0.026698256537143;0.866964285714286;0.0239763500727653;0.858499697626655;0.0286551100239613
Cora;model;119;0.1;16;128;0.5;1;0.003;0.784822521419829;0.0200608306753087;0.764273207899514;0.026243419558339;0.852941176470588;0.0244997978775013;0.84212687530028;0.0253021921339414
Cora;model;126;0.1;16;128;0.5;1;0.003;0.788984088127295;0.0199560041516554;0.770986018082599;0.0258986352129322;0.865873015873016;0.0276071859221049;0.857048664618294;0.0326195845198725
Cora;model;133;0.1;16;128;0.5;1;0.003;0.786046511627907;0.0261168905669258;0.768041377747327;0.0292286885826814;0.846616541353384;0.0296968686588444;0.838788734595071;0.0244150686673065
Cora;model;140;0.1;16;128;0.5;1;0.003;0.788249694002448;0.0206593046122761;0.772725454949684;0.0239422564121457;0.855714285714286;0.0209740148052812;0.849475781139221;0.0278701203796076
Cora;model;7;0.2;16;128;0.5;1;0.003;0.289473684210526;0.0808662499314482;0.237378798666949;0.0897858244852905;0.928571428571429;0.0752923252421043;0.899809523809524;0.112523271017751
Cora;model;14;0.2;16;128;0.5;1;0.003;0.425948592411261;0.0940306351954959;0.362176779231252;0.104397186115948;0.828571428571429;0.165643115532629;0.822588173731031;0.16022696136108
Cora;model;21;0.2;16;128;0.5;1;0.003;0.493635250917993;0.101526526245961;0.441796025592321;0.0825650626792673;0.861904761904762;0.135526185435788;0.829586871185721;0.15506905661473
Cora;model;28;0.2;16;128;0.5;1;0.003;0.532802937576499;0.0766513925708349;0.506357814949826;0.0569289633270702;0.846428571428571;0.0772434676071826;0.820455819059313;0.106314384559193
Cora;model;35;0.2;16;128;0.5;1;0.003;0.590575275397797;0.0709615294582855;0.554203572322444;0.0713717249817129;0.88;0.0643121638709872;0.874138966477398;0.0693921699870193
Cora;model;42;0.2;16;128;0.5;1;0.003;0.650673194614443;0.0618332480446102;0.625874109728908;0.0513288901120083;0.907142857142857;0.0543520433913141;0.900629167446851;0.0589851699367257
Cora;model;49;0.2;16;128;0.5;1;0.003;0.676009791921665;0.052433692236488;0.656043906679381;0.0566846913311396;0.926530612244898;0.0321963525610863;0.924351386237569;0.0422323155963238
Cora;model;56;0.2;16;128;0.5;1;0.003;0.716156670746634;0.0584517090233017;0.695843468698154;0.0645695341688486;0.928571428571429;0.0303513066285285;0.923854803802836;0.0394082028869458
Cora;model;63;0.2;16;128;0.5;1;0.003;0.733537331701346;0.0453484288436591;0.709381605737393;0.0484618534702627;0.914285714285714;0.0431143889681764;0.913357273831737;0.0483936067895828
Cora;model;70;0.2;16;128;0.5;1;0.003;0.748102815177479;0.045738599606396;0.726688915499199;0.0465224541270292;0.902857142857143;0.0335367940222076;0.898650353935532;0.0357049951279877
